STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,ML_ANOMALY_RATE_PERCENT,FEATURE,ANOMALY_MEDIAN,NORMAL_MEDIAN,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
Assam,2290,72,3.14410480349345,DISBURSED_TO_RECOMMENDED_RATIO,0.7286345,0.9969127272727273,0.22088716903586433,-1.2145487148199556,1.2145487148199556
Assam,2290,72,3.14410480349345,DISBURSED_TO_SANCTION_RATIO,0.73371725,0.9969127272727273,0.22077155829075973,-1.1921620670271964,1.1921620670271964
Assam,2290,72,3.14410480349345,REMAINING_SANCTION_RATIO,0.26628275,0.0030872727272727,0.22077155829075973,1.1921620670271964,1.1921620670271964
Assam,2290,72,3.14410480349345,ATTACH_ID,2178365.0,1882333.0,251241.11960251417,1.1782784620142952,1.1782784620142952
Assam,2290,72,3.14410480349345,DISBURSED_PER_EXPENDITURE_DAY,10397.855494505495,3071.4892665474063,7817.78740193712,0.937140632161823,0.937140632161823
Assam,2290,72,3.14410480349345,MP_TOTAL_DISBURSED,68375068.0,49053373.0,20669770.01369471,0.9347803573623922,0.9347803573623922
Assam,2290,72,3.14410480349345,CONSTITUENCY_TOTAL_DISBURSED,68375068.0,49053373.0,20669770.01369471,0.9347803573623922,0.9347803573623922
Assam,2290,72,3.14410480349345,PEER_MEDIAN_SANCTION,820109.5,400000.0,487429.0876008902,0.8618884483643867,0.8618884483643867
Assam,2290,72,3.14410480349345,SANCTION_TO_FIRST_PAYMENT_DAYS,87.0,26.0,74.97938705461812,0.8135569307277086,0.8135569307277086
Assam,2290,72,3.14410480349345,REMAINING_SANCTION_AMOUNT,141793.5,1082.0,185839.5628083072,0.7571665466364843,0.7571665466364843
Assam,2290,72,3.14410480349345,PAYMENTS_PER_100_DAYS,4.890202702702703,1.861909576773075,4.041062800628004,0.7493803673278757,0.7493803673278757
Assam,2290,72,3.14410480349345,PAYMENTS_PER_30_DAYS,1.4670608108108107,0.5585728730319226,1.2123188401884015,0.7493803673278754,0.7493803673278754
Assam,2290,72,3.14410480349345,MP_AVG_SANCTION_AMOUNT,797600.1146496815,547482.843575419,355521.3096608123,0.7035225857850508,0.7035225857850508
Assam,2290,72,3.14410480349345,CONSTITUENCY_AVG_SANCTION,797600.1146496815,547482.843575419,355521.3096608123,0.7035225857850508,0.7035225857850508
Assam,2290,72,3.14410480349345,RECOMMENDED_AMOUNT,940219.0,500000.0,626824.7945731735,0.7022999150819492,0.7022999150819492
Assam,2290,72,3.14410480349345,PEER_MEAN_SANCTION,820109.5,500000.0,479315.69783802686,0.6678468939028432,0.6678468939028432
