FEATURE,ANOMALY_COUNT,NORMAL_COUNT,ANOMALY_MEDIAN,NORMAL_MEDIAN,MEDIAN_RATIO,MEDIAN_DIFFERENCE_PERCENT,ANOMALY_MEAN,NORMAL_MEAN,ANOMALY_P95,NORMAL_P95,ANOMALY_P99,NORMAL_P99,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
VENDOR_COUNT_GE_5,2613,101904,0.0,0.0,,,0.23191733639494833,0.002502355157795572,1.0,0.0,1.0,0.0,0.0499611636299395,0.0,0.0
RECOMMENDATION_YEAR,2613,101904,2025.0,2025.0,1.0,0.0,2024.9445082280904,2025.2269390799183,2026.0,2026.0,2026.0,2026.0,0.6655292082918426,0.0,0.0
COMPLETION_BEFORE_LAST_PAYMENT,2613,101904,0.0,0.0,,,0.059318790662074246,0.0033659130161720835,1.0,0.0,1.0,0.0,0.05791905183202062,0.0,0.0
DATA_COMPLETENESS_RATIO,2613,101904,0.8181818181818181,0.8181818181818181,1.0,0.0,0.8717252896357375,0.6903377867226196,1.0,0.9090909090909092,1.0,1.0,0.19782120665525887,0.0,0.0
SANCTION_YEAR,2613,74690,2025.0,2025.0,1.0,0.0,2025.2407194795255,2025.3220109787121,2026.0,2026.0,2026.0,2026.0,0.5867581743130729,0.0,0.0
SANCTION_ABOVE_2X_PEER_MEDIAN,2613,101904,0.0,0.0,,,0.0,0.021481001727115718,0.0,0.0,0.0,1.0,0.1449819801295091,0.0,0.0
SANCTION_ABOVE_5X_PEER_MEDIAN,2613,101904,0.0,0.0,,,0.0,0.00722248390642173,0.0,0.0,0.0,0.0,0.08467815536966693,0.0,0.0
AVERAGE_PAYMENT_ABOVE_1M,2613,101904,0.0,0.0,,,0.19862227324913892,0.028330585649238498,1.0,0.0,1.0,1.0,0.16591634550249168,0.0,0.0
TOTAL_DISBURSED_ABOVE_5M,2613,101904,0.0,0.0,,,0.04822043628013777,0.0003532736693358455,0.0,0.0,1.0,0.0,0.01879234771362679,0.0,0.0
HOUSE_OF_PARLIAMENT,2613,101904,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,
ACTUAL_VS_DISBURSED_RATIO,1264,32279,1.0,1.0,1.0,0.0,1.000157269954814,1.0,1.0,1.0,1.0,1.0,0.0,,
RECOMMENDED_TO_SANCTION_DIFFERENCE,2598,101027,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SANCTION_TO_RECOMMENDED_RATIO,2598,101027,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
ACTUAL_MINUS_DISBURSED,1264,32279,0.0,0.0,,,52.47626582278481,0.0,0.0,0.0,0.0,0.0,0.0,,
DISBURSED_TO_PEER_MEDIAN,2574,52410,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
NEGATIVE_RECOMMENDATION_TO_SANCTION,2613,101904,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEGATIVE_SANCTION_TO_PAYMENT,2613,101904,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ACTUAL_ABOVE_SANCTION,2613,101904,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DISBURSED_ABOVE_SANCTION,2613,101904,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DISBURSED_MINUS_ACTUAL,1264,32279,0.0,0.0,,,-52.47626582278481,0.0,0.0,0.0,0.0,0.0,0.0,,
DISBURSED_ABOVE_2X_PEER_MEDIAN,2613,101904,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
